actor_id,actor_id
1146,2632
1146,3730
1146,3872
1146,7036
569,1146
1146,55636
519,1146
112,1146
227,1146
1146,18269
564,1146
1146,6163
2629,992504
192937,992504
930059,1272631
62971,1236982
62971,1304658
62971,1237931
2632,19303
192,2632
2632,55638
2632,84223
2632,9642
2632,4173
2632,56903
880,2632
1892,2632
2632,21127
2632,60949
2632,2888
2632,4566
2632,36422
1532,2632
2632,18750
2632,52849
500,2632
2632,17141
2632,9575
2632,52792
2632,22970
2228,2632
2632,6941
2632,3416
2632,78029
2632,3125
2632,41798
2632,136487
2632,16866
2632,25703
2632,115128
2632,67773
2632,19292
2632,11669
2632,7399
2632,9137
2632,9281
2632,4169
2632,60950
776,2632
2632,19011
2632,32895
2632,18326
2632,16377
2632,115255
1243,2632
2632,117379
2632,9562
2632,58198
2632,214943
2632,41694
1769,2632
2632,151937
2632,234120
2632,6449
2632,84678
2632,9309
2632,15903
2632,53684
2632,1637021
2157,1040368
3730,19119
3730,41526
3730,24397
3730,36208
3730,4529
3730,2423486
3730,58728
564,3730
3730,1744181
3730,71930
3556,3730
19152,38026
19152,59206
7499,19152
19152,77088
1276,19152
15735,19152
19152,935103
19152,1077651
19152,141028
19152,73985
19152,1235233
3872,557259
3872,10859
3872,51329
3872,114019
3872,71580
287,3872
3872,74568
3872,15730
3872,6283
3872,53714
3872,5309
501,3872
400,3872
3872,15735
2296,3872
3872,10990
3872,6352
3872,10978
3223,3872
3872,6949
3872,6159
2405,3872
3872,150882
138,3872
1233,3872
3872,1304234
3872,1638647
3872,1714378
3872,147057
11150,28639
21730,28639
102,28639
21397,28639
28639,84932
28639,75634
28639,58098
3035,129122
151043,217272
5958,217272
14991,217272
217272,1228437
217272,532537
217272,217296
10437,1454845
46949,1454845
30364,1454845
14837,1454845
17305,22053
8329,1263515
1196822,1263515
10747,1263515
1263515,1606096
60458,76594
41694,60458
3489,8289
4785,8289
2387,8289
1327,8289
8289,935103
8289,18248
6194,8289
8289,11649
8289,1006136
8289,116063
8289,585272
106490,1313564
5958,106490
89109,106490
106490,932091
80613,106490
517,106490
58016,106490
106490,441936
106490,1189982
3026,106490
3129,5472
4944,78190
3129,33663
3129,27422
3129,4566
3129,54422
64,3129
510,3129
3129,2908628
1243,3129
138,3129
1776,3129
3129,11856
15091,50095
15033,15091
15091,22125
15091,20387
1462,15091
1903,15091
5064,15091
3230,15091
15091,45405
204,15091
112,15091
15091,209513
15091,22214
15091,1075037
15091,53863
1579,15091
15091,41694
15091,2814160
190,15091
1884,15091
3027,15091
108,15091
15091,4280034
2632,75604
33829,75604
3896,75604
6807,75604
17604,75604
4483,75604
19292,75604
884,75604
6588,75604
75604,102445
75604,117379
1233,75604
75604,1059140
1884,75604
15829,75604
14528,75604
35,9979
9979,21111
9880,9979
9979,1346527
9979,86395
3556,9979
9979,204484
7517,55547
55547,77133
516,33487
23881,33487
33487,544496
7904,33487
33487,999605
4090,33487
380,33487
3027,33487
34490,1868672
9781,1868672
1452046,1868672
520,1868672
54645,1868672
502,1868672
5958,1868672
16866,1868672
33397,1868672
16431,1868672
3051,1868672
2283,1868672
11661,1868672
46423,1868672
1201,1868672
1218598,1868672
11068,1868672
161945,1868672
1145892,2205584
2205584,2662043
1922,928330
12,928330
12052,154784
3141,154784
138,154784
9629,17697
10859,17697
17697,51329
287,17697
17697,84223
3,17697
16855,17697
17697,83225
17697,1508927
17697,82191
17697,53714
880,17697
1892,17697
5081,17697
2231,17697
1893,17697
4495,17697
17697,22082
452,17697
17697,54693
7447,17697
17697,18972
1772,17697
1461,17697
17697,52792
2157,17697
14892,17697
13309,17697
380,17697
5064,17697
6194,17697
17697,25703
17697,69597
5216,17697
17697,67773
17697,62064
17697,20959
11669,17697
11649,17697
10981,17697
17697,39189
9137,17697
488,17697
11661,17697
12219,17697
17697,45419
17697,95101
417,17697
17697,1023483
17697,32905
5587,17697
17697,1463952
17697,40979
17697,2413513
17697,17883
9778,11827
5726,11827
4720,11827
11827,72450
3061,156237
3391,156237
133980,156237
156237,1220755
23459,36190
934,23459
23459,172069
23459,67758
9642,23459
880,23459
8784,23459
116,23459
23459,54693
7056,23459
4757,23459
18626,23459
9296,23459
884,23459
23459,1229169
23459,90451
6929,23459
190,23459
23459,51918
23459,4018554
7487,23459
4014,220448
14698,18658
7427,18658
9880,18658
1150,18658
10690,18658
18658,2413496
18658,56205
11863,18658
6195,113563
6195,31168
6195,18658
6195,59263
6195,102744
6195,31164
6195,6487
86434,163115
44735,164094
9880,164094
164094,585272
4756,1217601
10431,1217601
8256,1217601
237405,1217601
130749,1217601
44735,51988
2395,44735
28846,44735
44735,62862
32907,44735
5472,44735
44735,56903
44735,1442069
17140,44735
116,44735
1231,44735
21180,44735
17606,44735
44735,76070
1813,44735
18288,44735
6832,44735
44735,54693
134,44735
4941,44735
37917,44735
7489,44735
13333,44735
41798,44735
44735,59251
350,44735
44735,80661
41088,44735
44735,1285592
1205,44735
3895,44735
44735,968660
12982,44735
112,44735
44735,98103
44735,239019
44735,57755
2283,44735
8447,44735
488,44735
517,44735
44735,230680
44735,208099
6238,44735
1243,44735
23446,44735
15674,44735
44735,71586
5140,44735
7467,44735
44735,1231373
44735,110170
44735,1528819
44735,1188953
51935,224197
39995,224197
4691,224197
177475,224197
162371,224197
181481,224197
56867,224197
224197,1176379
2888,17289
1100,17289
15735,17289
2227,17289
17289,1523704
350,17289
17289,234120
587,36628
36628,76961
3131,36628
13550,57755
13550,1386799
36190,216674
36190,84760
36190,56323
36190,60021
36190,116341
36190,52849
10431,36190
36190,36926
36190,1427948
12214,36190
36190,59174
7399,36190
2283,36190
36190,102445
4154,36190
1243,36190
5292,6368
4173,6368
5472,6368
2694,6368
4495,6368
6368,11181
6368,9789
2157,6368
4252,6368
2505,6368
4491,6368
368,6368
11067,49824
7132,49824
82104,1267329
54422,82104
82104,2351021
66620,82104
82104,1187540
82104,1218227
12094,49833
11074,49833
33404,49833
59297,62836
9629,19664
9629,77069
9629,10017
4445,87192
4445,7904
2963,4445
1255,4445
4445,198847
4445,107379
4445,7064
4445,556170
5576,21818
10823,21818
2395,21818
1062,21818
21818,28641
21818,30613
2282,21818
8261,21818
3391,21818
2453,21818
2314,21818
14639,21818
4512,21818
3805,21818
21818,55093
21818,80742
2106,21818
9221,21818
21818,198927
19728,21818
21818,42740
20011,21818
21818,93841
21818,123255
21818,4040569
1884,21818
6197,131006
6197,37995
6197,10767
934,6197
6197,59263
290,6197
6197,154954
6197,16483
380,6197
6197,36208
6197,17832
4512,6197
227,6197
6197,74303
1158,6197
6197,60950
6197,54812
6197,58198
6197,16475
6197,148609
52935,1286744
4038,18050
3489,18050
326,18050
18050,19119
2978,18050
18050,34490
287,18050
516,18050
18050,45400
880,18050
18050,1190668
17140,18050
18050,77948
17419,18050
18050,587823
18050,234817
501,18050
18050,74541
18050,22970
1229,18050
1245,18050
7427,18050
112,18050
17114,18050
3292,18050
11649,18050
11701,18050
18050,95039
3810,18050
18050,1029934
1243,18050
1776,18050
18050,23446
18050,21183
1769,18050
3293,4038
4038,102786
4038,33663
4038,216674
4038,206759
50,4038
2228,4038
4038,113460
1269,4038
4038,6352
504,4038
4038,14541
4038,1157292
4038,4135
4038,38225
4038,17087
1160,4038
4038,2908628
4038,128550
514,4038
4038,41694
3380,4038
4038,7487
3489,4038
3489,23626
3266,3489
1230,3489
3489,60073
3293,3489
3489,9642
3489,9560
131,3489
3489,21127
3489,8784
3489,68122
3489,30614
2232,3489
3489,9273
3061,3489
2228,3489
3489,15152
2296,3489
2227,3489
3489,10297
3489,52848
3489,6193
3489,1364815
15455,34847
223,3489
15455,102786
3489,41686
15455,39388
3489,6968
5309,15455
2876,3489
118,3489
15455,18277
103,3489
4491,15455
3489,20508
15455,556170
3489,4483
3489,5216
3489,5602
819,3489
3489,7399
3489,8857
3489,57755
110,3489
3489,114021
3489,16851
3489,11661
3489,8170
32,3489
1121,3489
224,3489
3489,28744
3489,1229169
937,3489
3489,26291
1243,3489
3489,15007
3489,6473
3489,15009
114,3489
3489,65605
3489,1365769
1709,3489
3489,41694
190,3489
382,3489
108,3489
3489,33181
3489,17883
33235,58643
1233,58643
