actor_id,director_id
1146,3776
1146,569
1146,564
1146,7036
1146,8297
1146,1128
1146,2632
1146,6163
2632,1146
2632,1243
2632,880
2632,1769
2632,9281
2632,60949
2632,115128
2632,19303
2632,3416
2632,25703
2632,52849
2632,2228
2632,4566
2632,17141
2632,3125
2632,53684
2632,7399
1003934,95977
19152,7499
19152,66605
3730,1146
3730,564
3730,3556
3730,24492
3730,19119
3730,238960
3730,40312
3730,58728
3730,37626
3730,133398
3872,1146
3872,6431
3872,6159
3872,138
3872,15287
3872,1233
3872,21684
3872,51329
106490,3026
8289,11649
8289,15217
8289,585272
1263515,76325
1263515,1082912
3129,510
3129,1243
3129,18865
3129,138
3129,4566
3129,1776
4944,78188
4944,78190
75604,102445
75604,1884
75604,1233
75604,2632
75604,4483
15091,190
15091,39
15091,55710
15091,1884
15091,1462
15091,12891
15091,17167
15091,45405
15091,52443
15091,22214
15091,2945
15091,3230
15091,108
15091,209513
15091,20387
15091,53863
15091,1579
13550,57755
36190,115226
36190,1243
36190,102445
36190,2283
36190,52849
36190,17278
36190,7399
9979,3556
9979,204484
9979,309
9979,8574
6368,11181
6368,5292
6368,4491
6368,55439
49824,7132
82104,1038659
4445,7904
4445,26095
6197,30309
6197,16483
6197,934
6197,1158
21818,1884
1286744,1110102
1286744,52935
21818,150207
18050,17439
18050,6737
18050,11649
18050,1243
18050,880
18050,234817
18050,1769
18050,11701
18050,21183
18050,19119
18050,57206
18050,932759
18050,608
18050,17114
18050,1032536
18050,1088579
18050,67356
18050,45400
18050,2978
18050,1776
4038,15389
4038,4135
4038,17087
4038,2228
4038,893
15455,4491
15455,30711
3489,285385
3489,190
3489,17883
3489,12995
3489,3061
3489,1243
3489,72624
3489,37852
3489,69371
3489,224
3489,1704
3489,7832
3489,5216
3489,53334
3489,96222
3489,108
3489,57755
3489,2228
3489,30614
3489,819
3489,60073
3489,57030
3489,4483
3489,223
3489,7399
3489,103
3489,5602
3489,110
3489,32
58643,1233
1273248,285385
1273248,1018992
1273248,84061
1273248,23532
1273248,5872
1273248,82839
1273248,8686
77090,8395
20354,107765
20354,17051
20354,212
20354,64131
20354,56322
20354,5602
8210,107765
8210,1195594
8210,8965
21319,16848
21319,32799
21319,10051
3901,16848
3901,488
3901,578
3901,525
3901,1150
3901,4027
3901,524
3901,17605
6396,102445
6396,4429
85924,190
85924,110343
85924,11091
85924,89576
11160,130051
11160,2294
11160,638
11160,518
11160,587
11160,138
11160,58728
11160,17764
27737,16848
27737,72757
27737,190
27737,14999
27737,10051
27737,992507
27737,11161
55899,36811
62001,488
62001,108
5695,16848
5695,31155
5695,1018106
5695,138
5695,37710
5695,19707
5695,9915
5695,92844
5695,4483
17288,2034
17288,488
17288,578
17288,71082
17288,139098
17288,1884
17288,549310
17288,15217
17288,55934
17288,57581
17288,224
17288,138
17288,5572
17288,7467
17288,76070
17288,31
17288,13520
17288,74396
17288,4387
17288,6979
17288,206919
5576,2712
5576,51918
5576,6159
5576,1907753
5576,11701
5576,6818
5576,17183
5576,138
5576,5292
5576,5572
5576,82829
5576,1053901
5576,1461
5576,30715
5576,2228
5576,30614
5576,1152
5576,86270
5576,589
5576,893
5576,1158
5576,74396
5576,1776
5576,5602
9205,880
9205,3905
11149,213357
11149,141513
11149,11401
11149,224610
11149,52629
11149,589
11149,20921
11149,7270
216294,86270
13021,935049
13021,13922
13021,5469
13021,5572
13021,198613
17305,19303
17305,55265
567278,1032
567278,3556
90424,16483
17343,5602
52851,20019
52851,5292
13240,1032
13240,11614
13240,36602
13240,518
13240,108
188013,78501
587,11478
5292,578
5292,11181
5292,20907
5292,196858
5292,569
5292,7499
5292,1038
5292,5281
5292,21712
5292,20019
5292,11701
5292,17087
5292,17812
5292,5344
5292,16294
5292,7132
5292,31
5292,1152
5292,3087
5292,934
5292,893
5292,6495
5292,5369
2053,7623
10430,190
2053,78160
2053,14392
2053,4491
10430,5292
2053,2838
10430,4491
2053,9994
10430,9915
10430,6384
10430,81317
1256036,21246
11006,3897
11006,9032
11006,10696
11006,20019
11006,11864
11006,5292
11006,30614
11006,819
11006,2632
11006,4483
31512,488
31512,5281
31512,4784
31512,91343
31512,1461
52801,41887
52801,1187819
52801,1150
52801,2461
52801,2228
52801,5602
16700,4566
16700,1518
20173,78012
20173,56205
20173,224
52394,15852
58724,6575
58724,220088
67979,18184
67979,2712
67979,159778
67979,84021
67979,280
67979,1158
1431050,5292
85613,62173
77517,21657
77517,105647
221098,1243
221098,5367
221098,79082
503,1617376
503,488
503,3492
503,234817
503,73035
503,1196522
503,51298
503,11864
503,40256
503,76009
503,227238
503,7132
503,20307
503,3905
503,585272
503,34682
503,98522
205982,80602
1211636,967330
1211636,1636959
1211636,12714
76850,57030
29097,38782
1375795,115128
1375795,15556
91520,6201
91520,10491
91520,114759
20374,11694
20374,75131
20374,61363
20374,33192
20374,58873
20374,109439
20374,71280
20374,449
20374,1893
20374,879
20374,14405
20374,114334
20374,30715
20374,12962
20374,53333
20374,32203
20374,3052
1068123,1032
1068123,5970
1068123,60074
1068123,17087
1068123,472630
1068123,17142
2099497,25598
2099497,36588
2099497,557383
2099497,31
52480,7499
52480,56381
52480,967330
52480,524
1466581,26852
1466581,19311
41421,33192
58723,3052
11663,11649
543261,101542
543261,569
543261,55710
543261,11701
543261,930710
543261,31
543261,30614
543261,934
20750,190
20750,59466
20750,11614
20750,3897
20750,11649
20750,564
20750,11864
20750,45407
20750,4135
20750,13235
20750,4491
20750,52443
20750,239418
20750,11770
20750,206296
20750,1461
20750,5140
20750,105648
20750,163496
20750,17178
20750,44735
33487,23881
33487,7904
1868672,18878
1868672,104507
1868672,26714
1868672,550162
1868672,19769
1868672,2283
1868672,85563
1868672,43896
1868672,1201
1868672,1223175
1868672,54645
18473,488
18473,31
94864,865
94864,25598
94864,24
94864,1038
94864,10828
94864,1108
94864,31
11827,4720
11827,9778
57674,2675
57674,2294
57674,130237
60073,61069
60073,11090
60073,77357
60073,66605
60073,5656
60073,24045
60073,83281
60073,1144604
60073,57755
60073,1893
60073,21007
60073,135651
60073,38673
172069,93223
172069,4723
172069,5281
172069,1056121
172069,5292
172069,55789
172069,5369
172069,135651
23459,190
23459,880
23459,51918
23459,2636
23459,5345
23459,4757
23459,957
23459,934
23459,98750
102744,10696
102744,589
2603,865
2603,6162
54479,3897
61659,11614
61659,880
61659,77147
61659,80591
41229,1038
41229,11770
44735,91268
44735,488
44735,1243
44735,86626
44735,5294
44735,54733
44735,37917
44735,98103
44735,2283
44735,7467
44735,57454
44735,646785
44735,57755
44735,76070
44735,44934
44735,13520
44735,5140
44735,13333
44735,1442069
17289,15217
17289,6201
62862,64141
62862,54710
62862,934
38560,587
38560,2880
38560,56828
13275,1032
13275,6046
13275,55785
13275,130938
544496,1402972
544496,78439
544496,17114
544496,103
59882,1446636
59882,14597
59882,224610
11855,4483
88360,1884
79966,13015
79966,569
79966,58094
79966,524
55638,37932
55638,7132
55638,36811
55638,2632
55638,543261
55638,4720
55638,9778
55638,41039
19274,56661
19274,2034
19274,17051
19274,11701
19274,9281
19274,19303
19274,24045
19274,52934
19274,8029
19274,449
19274,54734
19274,64141
19274,54710
19274,54716
19274,21007
19274,13520
19274,41039
38405,18878
38405,104507
38405,26714
38405,550162
38405,19769
38405,2283
38405,85563
38405,43896
38405,1201
38405,1223175
38405,54645
4492,4762
4492,1233
459980,929825
459980,136495
459980,92784
22108,1614
22108,1035
22108,5140
8654,39104
8654,102445
8654,525
8654,2461
8654,16294
8654,16384
8654,5010
16855,19656
16855,5367
16855,84416
16855,17697
16855,57755
16855,2880
16855,1213125
16855,524
16855,17178
219378,17835
1102427,76242
1102427,1174526
1102427,11181
1102427,229702
1102427,18023
105186,1416533
1458260,1748
62972,975
1221760,7832
82662,131946
1485380,44735
1062,1748
1062,518
1062,130237
1062,103
448,190
448,19684
448,1884
448,19536
448,1339930
448,223
448,38673
1283,510
1283,11181
1283,3556
1283,5469
1283,76070
1283,4566
1283,98750
1283,2419
142192,19303
6951,9788
105676,11649
105676,6384
1207834,533061
69233,107168
69230,533061
92707,533061
221978,1221053
129601,238058
129601,56842
129601,679
130538,8688
559457,1214840
7026,1187130
7026,39012
7026,13520
7026,111807
7026,6979
154883,127614
6730,1032
6730,17883
6730,6767
6730,6733
6730,57130
6730,71329
6730,13520
6730,4483
4030,1704
66606,4610
66606,2461
66606,53684
66606,1776
10987,6737
10987,280
10987,12073
37290,578
37290,93286
37290,126315
37290,37259
973667,2294
76961,11701
77795,578
77795,1884
77795,217587
77795,1224031
77795,4762
77795,585272
77795,5723
932967,7467
27319,510
27319,10828
27319,3556
27319,138
6161,6482
6161,2294
6161,101399
6161,3061
6161,6431
6161,4385
6161,7499
6161,6159
6161,29009
6161,1614
6161,1978
6161,4945
6161,1293994
6161,15148
6161,55499
6161,7256
6161,1163129
6161,4955
6161,4491
6161,21085
6161,6384
6161,9181
6161,11805
6161,1201
6161,86270
6161,8574
6161,17141
6161,934
6161,123997
6161,2589
6161,6162
6161,5575
6161,103
6161,5010
181081,305750
181081,3026
181081,20019
181081,72208
83352,39189
1047649,6046
1047649,57755
59846,4499
59846,144304
59846,63713
59846,32
1982,564
1982,1233
1982,1158
7401,9777
7401,57755
91369,488
91369,2226
91369,6159
91369,21377
91369,4135
91369,39012
91369,56194
91369,67717
7166,1032
7166,1243
7166,3026
7166,24173
7166,1748
7166,19303
7166,16483
7166,3416
7166,15452
7166,31
7166,52139
7166,76245
7166,1158
7166,54645
7166,109708
12898,4566
7623,59291
7623,87742
7623,27571
7623,24173
7623,10828
7623,57581
7623,1293994
7623,932248
7623,19656
7623,37710
7623,1545927
7623,20310
7623,11770
7623,108
7623,11641
7623,11401
7623,879
7623,57193
7623,22676
7623,1046225
7623,80675
33654,11864
33654,13922
33654,5344
11084,101542
11084,72427
87192,130750
74748,60949
74748,64856
117690,85670
8892,935049
8892,87009
8892,27889
8892,76221
8892,212208
237045,2182258
237045,35736
935049,35770
85733,35785
56365,956
56365,15217
56365,10828
40477,17051
56365,15115
56365,2461
40477,117642
56365,76070
56365,1276383
115974,55710
115974,57538
2372,2352
2372,10828
2372,2419
66555,38023
38026,82885
38026,60545
38026,7132
38026,31
38026,9994
82639,1380821
82639,3556
66442,172
76242,78061
76242,78064
76242,19303
34847,77153
34847,17051
34847,41549
34847,4491
34847,5140
34847,1193602
34847,54697
73525,76242
73525,145821
73525,26076
2957,578
2957,7482
2957,5469
2957,82226
2957,1461
2957,108072
1465562,162371
