actor_id,writer_id
1146,3776
1146,564
1146,569
1146,2632
1146,8297
1146,55636
1146,6163
1146,519
62971,1236982
62971,1237931
2632,1146
2632,1769
2632,1243
2632,19292
2632,9281
2632,60949
2632,115128
2632,9562
2632,25703
2632,52849
2632,32895
2632,2228
2632,19303
2632,53684
2632,16377
2632,60950
2632,55638
2632,4566
2632,880
2632,1532
2632,3125
2632,1892
2632,67773
1003934,95977
19152,66605
3730,1146
3730,564
3730,3556
3730,40312
3730,19119
3730,37626
3730,19985
3730,58728
3730,133398
3872,1146
3872,15730
3872,10859
3872,138
3872,6431
3872,21684
3872,51329
1263515,1082912
1263515,10747
1263515,76325
8289,15217
8289,11649
8289,372
106490,3026
3129,1243
3129,138
3129,4566
3129,1776
3129,510
4944,78188
4944,78190
75604,102445
75604,19292
75604,2632
15091,39
15091,55710
15091,1462
15091,12891
15091,15033
15091,3027
15091,45405
15091,52443
15091,20387
15091,35796
15091,108
15091,126
15091,209513
15091,3230
15091,2945
15091,53863
15091,22214
13550,57755
36190,115226
36190,102445
36190,1243
36190,2283
36190,52849
36190,56323
6368,55439
9979,3556
9979,204484
9979,309
49824,7132
49833,12094
82104,1238222
6197,30309
6197,16483
6197,60950
6197,1158
4445,7904
4445,21339
205797,2025364
1286744,52935
4038,17087
3489,12995
4038,2228
3489,17883
3489,1243
3489,72624
3489,23626
3489,224
3489,5216
3489,2228
3489,108
3489,15009
3489,5602
3489,110
3489,57755
3489,30614
3489,819
3489,53334
3489,96222
3489,223
3489,1121
18050,2978
18050,17439
18050,234817
18050,11649
18050,932759
18050,1769
18050,1243
18050,11701
18050,45400
18050,57206
18050,11993
18050,608
18050,17114
18050,23446
18050,880
18050,19119
18050,1088579
18050,21183
18050,1776
15455,23766
15455,30711
58643,120096
58643,8780
77090,8395
20354,17051
20354,61178
20354,107765
20354,212
20354,5602
20354,2789466
1273248,84061
1273248,5872
1273248,8686
1273248,82839
8210,3027
8210,8965
8210,107765
53257,62644
21319,16848
85924,89576
3901,16848
3901,525
3901,55536
3901,73421
3901,4027
3901,1150
3901,488
3901,524
6396,102445
11160,130051
11160,23880
6396,4429
11160,2294
11160,11159
11160,138
11160,58728
11160,17764
55899,36811
62001,3027
62001,108
62001,488
27737,16848
27737,14999
27737,72757
5695,16848
5695,31155
5695,1018106
5695,138
5695,92844
5695,19665
17288,2034
17288,15217
17288,71082
17288,139098
17288,55934
17288,57581
17288,224
17288,51736
17288,138
17288,31
17288,76070
17288,13520
17288,6979
17288,488
17288,84665
5576,51918
5576,2712
5576,11701
5576,6818
5576,1152
5576,138
5576,1461
5576,2228
5576,5602
5576,30715
5576,30614
5576,1158
5576,589
5576,210160
5576,1776
9205,880
9205,3905
11149,7270
11149,213357
11149,141513
11149,224610
11149,11401
11149,589
13022,3027
17305,19303
13021,220303
13021,13922
13021,41088
13021,8447
13021,55636
567278,3556
90424,16483
567278,1032
154332,60950
17343,5602
52851,19292
52851,60950
52851,20019
13240,11614
13240,73421
13240,108
13240,36602
13240,62861
13240,1032
13240,1892
5292,569
5292,5281
5292,21712
10430,67054
5292,22814
5292,11701
5292,10859
5292,1152
5292,17087
5292,1238222
5292,3087
5292,31
5292,7132
5292,55636
5292,20019
2053,2710
188013,32895
2053,2838
2053,1532
2053,9994
2053,78160
1256036,21246
31512,5281
31512,3027
31512,1461
31512,91343
31512,488
11006,23659
52801,41887
11006,10696
52801,1187819
11006,11864
52801,2228
52801,5602
11006,2632
11006,59919
52801,1150
11006,30614
11006,819
11006,20019
16700,7056
16700,4566
6575,8447
32887,56856
58724,6575
58724,220088
67979,2712
67979,159778
67979,84021
67979,280
67979,1158
17787,7056
1431050,21136
20173,56205
20173,224
20173,78012
85613,62173
77517,3027
77517,105647
221098,79082
221098,1243
221098,5367
583111,80110
503,1617376
503,234817
503,3893
503,1196522
503,142995
503,51298
503,11864
503,40256
503,76009
503,7132
503,78322
503,488
503,3905
503,88029
503,98522
205982,80602
1211636,12714
1211636,967330
1211636,1636959
1211636,1131215
27754,1246154
27754,8780
1375795,115128
29097,372
91520,4581
91520,6201
20374,75131
20374,114334
20374,33192
20374,19292
20374,58873
20374,1893
20374,71280
20374,449
20374,879
20374,30715
20374,64172
20374,11108
1068123,5970
1068123,9656
1068123,60074
1068123,3634
1068123,17087
1068123,472630
1068123,1032
1068123,35028
2099497,25598
2099497,557383
2099497,31
2099497,1887858
2099497,27428
105678,105676
105678,12208
1466581,59261
1466581,19311
1466581,26852
11663,11649
41421,33192
52480,56381
52480,967330
52480,524
543261,101542
543261,55710
543261,569
543261,211845
543261,11701
543261,84414
543261,930710
543261,55638
543261,31
543261,30614
142192,19303
105677,105676
105677,12208
105677,101389
105677,69233
105676,6951
105676,11649
105676,12208
105676,101386
105676,69233
105676,57637
69233,105676
69233,12208
92707,6056
92707,105676
92707,12208
92707,5741
221978,1221053
221978,9813
221978,228068
69230,105676
69230,69233
69230,57637
69230,69231
129601,238059
129601,56842
129601,679
130538,83854
130538,15033
130538,10859
130538,8688
7026,207132
7026,36589
7026,39012
7026,13520
7026,6979
154883,127614
6730,6732
6730,17883
