id,name,popularity
1510971,Harry Jarvis,7.68
1770528,Ella-Rae Smith,14.906
1602739,Alhaji Fofana,2.222
20056,Keith Allen,37.785
992504,Siobhan Redmond,9.453
1272631,Seann Walsh,4.186
62971,Marek Larwood,6.004
1194117,Kirsty Dillon,4.001
1146,Julie Delpy,23.167
2632,Chris Rock,46.987
3730,Albert Delpy,19.351
20879,Kate Burton,18.275
19152,Dylan Baker,30.122
3872,Daniel Brühl,47.069
1003934,Alexia Landeau,12.706
19580,Alexandre Nahon,4.676
1206276,Talen Ruth Riley,1.708
1824053,Owen Shipman,0.6
28639,Carmen Electra,27.357
129122,Charlie O'Connell,40.384
217272,Brooke Hogan,15.718
211900,Gerald Webb,14.452
933544,David Gallegos,1.96
933545,Christina Bach,10.455
933546,Ashley Bissing,1.96
933547,Marckenson Charles,0.6
933548,Chase Conner,1.96
933549,Michael Dicarluccio,0.694
2349063,Nicole Brydon Bloom,9.139
1040368,Giles Matthey,16.469
4944,Taylor Nichols,12.622
22053,Alan Blumenfeld,10.898
1454845,Naomi Grossman,11.376
1137246,Celeste Sullivan,3.402
160600,Susan Davis,4.07
2349064,Clayton Hoff,1.052
1781001,Earnestine Phillips,6.203
1534552,Hailey Giles,1.417
1091795,Graham Rogers,29.795
8289,Billy Crudup,49.427
60458,Liana Liberato,32.682
106490,Stefanie Scott,17.12
3129,Tim Roth,49.291
15091,Melanie Lynskey,29.903
1263515,Thomas Cocquerel,21.099
1485556,Ty Parker,13.128
9979,Peter Coyote,31.946
75604,Yul Vazquez,12.547
6368,Embeth Davidtz,31.411
36190,Edie Falco,24.993
13550,Elias Koteas,55.87
557607,Rachel Resheff,5.127
49824,Kathryn Erbe,15.95
82104,Danai Gurira,13.021
73569,Dana Eskelson,6.552
106219,Kathy Searle,14.025
1254435,Peyton List,39.469
1223970,Larry Clarke,8.593
74036,Tom Arnold,37.366
49833,Mo Gaffney,8.913
59297,Eric Edelstein,12.567
6197,Brian Dennehy,24.438
9629,Jon Gries,16.269
21818,Lesley Ann Warren,43.165
4445,Chris Bauer,34.968
1286744,Steele Stebbins,19.384
1510511,Joe Pacheco,5.051
18050,Elle Fanning,73.958
4038,Susan Sarandon,56.793
3489,Naomi Watts,37.568
15455,Tate Donovan,18.265
205797,Maria Dizzia,16.111
131006,Sam Trammell,28.798
58643,Linda Emond,17.864
77090,Jordan Carlos,14.821
1273248,Tessa Albertson,20.2
1496672,Maxwell Simkins,13.466
20354,Amber Tamblyn,18.104
8210,Wes Bentley,21.549
85924,Vincent Piazza,13.792
21319,Sheri Moon Zombie,21.792
27737,Bill Moseley,14.342
3901,Richard Brake,28.407
11160,Danny Trejo,31.988
5695,Sid Haig,15.3
53257,Emilio Rivera,17.074
59673,Jeff Daniel Phillips,19.144
62001,Dee Wallace,32.141
6396,Richard Edson,14.568
1642765,Kevin Jackson,5.659
55899,Rhys Wakefield,18.43
116088,Logan Miller,14.127
589098,Ashley Grace,21.165
209511,Natalie Hall,16.649
962382,Suzanne Dengel,10.592
962381,Colleen Dengel,1.96
1216907,Rohan Kymal,4.274
1216908,Adam David Thompson,11.367
1216909,Ronald Ogden,1.96
1216910,Bernard D. Jones,0.6
17288,Michael Fassbender,76.097
9205,Denise Richards,37.908
557259,Niki Lauda,11.866
5576,Val Kilmer,55.205
216299,Michael Schumacher,13.648
216294,Lewis Hamilton,13.859
54182,Taylor Cole,20.698
216290,Jenson Button,4.592
11149,Dominique Swain,27.818
13021,William Baldwin,24.464
567278,Jackie Stewart,8.184
17343,Robert Knepper,24.233
1443760,Sebastian Vettel,1.96
13022,Tom Berenger,83.466
1112222,Bernie Ecclestone,3.758
17305,Greg Grunberg,13.606
90424,Mario Andretti,6.308
6734,Ken Davitian,13.382
1212340,Damon Hill,3.147
929065,Michael Sirow,20.07
5292,Denzel Washington,88.655
13240,Mark Wahlberg,77.692
154332,Megyn Price,10.904
59222,George Newbern,29.323
52851,Paula Patton,46.148
587,Edward James Olmos,61.719
188013,Taylor Spreitler,34.156
2053,Bill Paxton,38.902
21246,Corbin Bernsen,25.245
11006,James Marsden,50.021
1360087,Aidan Potter,5.379
10430,Fred Ward,23.846
1256036,Francesca Capaldi,7.809
31512,Robert John Burke,32.599
1213105,Kevin Crowley,13.909
1289977,Greg Sproles,4.117
1534771,Eric David,0.6
52801,Patrick Fischler,21.122
1534772,Nicholas DeShane,1.38
1385639,Bill Bradshaw,0.6
6575,Gil Bellows,24.389
16700,Greg Wise,23.551
58724,Rya Kihlstedt,19.219
32887,Christopher Heyerdahl,45.261
20173,Don McKellar,14.597
17787,Phyllida Law,14.848
67979,Michael Eklund,14.999
52394,Lauren Lee Smith,35.918
557840,Kristen Holden-Ried,37.489
1431050,Oluniké Adeliyi,6.651
1129912,Mirianne Brûlé,1.4
1128048,Dany Papineau,0.6
178447,Jessica Malka,7.952
1926662,Brandon Barton,0.98
85613,Juan Riedinger,16.072
2415492,Anik Vermette,0.6
132823,Germain Houde,10.509
7016,Diane Lavallée,8.113
1396774,Valérie Chevalier,2.117
85506,Charlie David,10.287
1562074,Kyle Allen,30.584
77517,Isabelle Fuhrman,32.045
503,Justin Chatwin,40.764
221098,Anna Camp,32.359
1254396,Kelli Berglund,20.911
1252313,Roshon Fegan,19.043
1681767,Evan Hofer,10.873
1535162,Alexander Roberts,4.137
77321,David Chokachi,21.473
205982,Heather Hemmens,23.789
583110,Xin Sarith Wuku,6.385
583111,Michele Boyd,5.39
62596,Kane Hodder,47.54
583112,Darren Anthony Thomas,2.167
583113,Mam Smith,7.987
42824,Carl Ciarfalio,5.883
583114,Timothy Ingles,1.532
51579,Steven Williams,18.421
1690866,Hunter Johnson,3.842
1690867,David Coupe,0.6
1690869,Lara Jean Sullivan,6.341
74673,Felissa Rose,20.949
97583,Erin Marie Hogan,20.503
555734,Veronica Ricci,3.272
1269198,Jody Barton,0.6
1211636,James Cullen Bressack,14.07
1690876,Jarrett Furst,1.796
1192288,Joshua David Brown,1.02
1654257,Lucia McBath,0.828
1172824,Zakeeya Patel,1.96
1654258,Ron Davis,0.98
2223009,Kajal Bagwandeen,0.6
1654259,Michael David Dunn,1.4
1654260,Russell Healey,0.6
1654261,John Guy,0.6
1654262,Cory Strolla,0.98
1654263,Rhonda Rouer,0.6
1654264,Chris Dunn,1.38
1654265,Phyllis Molinaro,1.313
1654266,Vic Micolucci,0.6
91520,Michiel Huisman,29.516
20374,Teresa Palmer,29.6
589650,Sam Reid,19.213
1068123,John Waters,10.006
29097,Kerry Armstrong,21.201
1383834,Richard Davies,2.828
81331,Maeve Dermody,19.282
1347947,Remy Hii,18.958
76850,Simone Kessell,13.947
27754,Mitchell Butel,5.16
1716494,Madeline Weinstein,2.243
1860831,Antonio Marziale,4.306
1375795,Daniel Zolghadri,3.07
2099497,Fred Hechinger,15.928
1466581,Nik Dodani,10.73
2067897,Dante Costabile,3.392
1358460,Annie Q.,4.273
220038,Joanna Adler,16.661
11663,Patrick Fugit,28.063
41421,Jennifer Morrison,40.265
543261,Karen Gillan,65.886
41296,Aaron Staton,14.962
52480,Eddie Kaye Thomas,50.014
8699,Michael Nouri,30.516
58723,Gilles Marini,16.498
142192,Ryan O'Nan,23.227
95358,Elvy,27.924
6951,W. Earl Brown,40.473
105676,Jerry Cantrell,11.21
105678,Sean Kinney,2.954
1289884,William Duvall,1.646
105677,Mike Inez,3.684
69230,Lars Ulrich,12.741
69233,Robert Trujillo,11.744
92707,Duff McKagan,6.474
1207834,Kim Thayil,1.935
11656,Nancy Wilson,17.73
221978,Iwan Rheon,34.772
1846,André Hennicke,19.971
141778,Tim Williams,4.245
40745,Rainer Werner,2.974
2585344,Gökdeniz A. Özcetin,1.783
129621,Massimo Poggio,2.464
238064,Laura Glavan,8.715
238058,Varo Venturi,0.6
129601,Ludovico Fremont,9.723
238065,Marina Kazankova,2.909
