id,name,popularity
2349160,D. James Newton,0.6
1146,Julie Delpy,23.167
97901,Christopher Ray,11.129
2349062,David Marmor,0.98
77153,Leif Tilden,7.811
115226,Eric Mendelsohn,3.489
1223970,Larry Clarke,8.593
107765,Gabriel Cowan,2.564
16848,Rob Zombie,17.552
94108,Dennis Iliadis,2.78
285385,Gaby Dellal,4.438
4339,Paul Crowder,14.258
67813,Baltasar Kormákur,10.995
1586427,Ali Atshani,1.528
21246,Corbin Bernsen,25.245
6575,Gil Bellows,24.389
194802,Tony Pantages,8.767
1128048,Dany Papineau,0.6
1617376,Minhal Baig,2.475
9567,Cole S. McKay,12.715
1690866,Hunter Johnson,3.842
1854701,Bianca Isaac,0.98
178460,Marc Silver,7.531
1319499,Paul Currie,2.435
1385031,Petersen Vargas,0.98
90574,Ishai Setton,5.62
935049,Namrata Singh Gujral,1.22
155596,Michelle Schumacher,2.429
2182258,Prashanth Neel,18.405
1845448,Adam Graveley,0.6
78600,Jordan Roberts,6.993
3776,Jean-Luc Godard,28.199
30309,Peter Greenaway,12.996
1151402,Edgar Pêra,2.744
1204041,Paul S. Myers,0.6
76242,Noel Clarke,18.315
2330170,Mark Davis,2.062
1199504,Andrew Nackman,1.082
588380,Charles-Olivier Michaud,2.23
1665249,Ishaya Bako,2.328
16938,Renny Harlin,20.523
33315,Richard Loncraine,4.029
20254,Achim von Borries,19.498
71339,Rick Bieber,2.597
1861023,Nico De Leon,2.268
110283,Bob Byington,6.014
1562178,Robert Rippberger,3.842
234988,Alexandr Yakimchuk,3.685
234989,Elena Kovaleva,0.828
82937,Victor Levin,10.844
293911,Scott Waugh,6.672
111588,J Blakeson,22.144
455,Paul Haggis,6.281
1157604,Dan Krauss,2.307
865,Michael Bay,21.438
34489,Eric Balfour,37.143
88134,Adam Silver,5.499
543780,Ben Hayflick,3.084
131874,Marja-Lewis Ryan,1.935
73875,Toa Fraser,11.022
85809,Shane van Dyke,30.328
1008441,Arthur Bradford,0.6
56059,Patrick Read Johnson,14.675
1140238,Hannah Fidell,2.023
56401,Jan Kounen,8.266
56212,Eric Khoo,3.33
98882,Royston Tan,1.407
131459,Kelvin Tong,3.223
225055,Jack Neo,4.433
1072562,Boo Junfeng,3.063
1322394,Tan Pin Pin,1.286
1768826,K. Rajagopal,0.997
1049270,Gabriel Judet-Weinshel,2.295
1181360,Jay Martin,2.047
123990,Reed Cowan,1.396
123991,Steven Greenstreet,6.206
146801,Martin Guigui,9.69
43553,Jerzy Skolimowski,14.878
1189988,Tomer Almagor,1.553
59291,Alexandre Aja,6.81
1066774,Ari Issler,1.932
1489788,Ben Snyder,3.842
64763,François Desagnat,5.093
64764,Thomas Sorriaux,1.4
1451894,Simon Hung,1.441
88039,Steven R. Monroe,21.648
82566,Anders Morgenthaler,2.601
95324,Michael C. Martin,9.184
64171,James Hayman,6.223
366,James Mangold,17.844
1128550,Timothy Hines,2.744
1873813,Adze Ugah,1.4
1193132,Princeton Holt,7.531
1024823,Brian A. Miller,9.334
568322,Dan Trachtenberg,8.767
1507476,David Gidali,0.735
440763,Greg Richardson,10.317
1979467,Suzi Ewing,1.38
68432,Jamie Linden,5.131
51575,Leslie Greif,24.903
1152047,Lotfy Nathan,0.6
108486,Stephen Reynolds,5.095
231705,Matt Eskandari,7.129
92591,Peter Sullivan,12.578
97555,Roel Reiné,16.882
72757,Steve McQueen,11.872
1719601,Nicolai Fuglsig,1.4
19003,Heidi Ewing,6.885
19006,Rachel Grady,11.182
47786,Géla Babluani,10.755
1030363,Rick Rowley,5.302
1076066,Lowell Dean,4.486
1485100,Victor Zarcoff,2.744
120245,Daniel Stamm,10.545
228643,Morgan Neville,9.183
2562314,Jacobo Martínez,0.98
139837,Jonathan Glendening,5.897
17439,Mike Mills,9.346
929825,Ava DuVernay,22.027
118463,Peter DeLuise,14.895
52114,Jon Lucas,8.684
52115,Scott Moore,6.654
25598,Paul Greengrass,9.276
86521,Marc Clebanoff,1.635
107446,Phil Lord,13.153
155267,Christopher Miller,26.279
190,Clint Eastwood,50.827
957864,Jeffrey Roda,2.744
39460,Rod Holcomb,15.071
22579,Wolfgang Meyer,3.006
2114451,Rafal Sokolowski,0.98
126162,Richard Hankin,6.589
567120,Davy Rothbart,1.4
914284,Adam Lipsius,3.601
19152,Dylan Baker,30.122
93223,Brian Kirk,10.556
229420,T.C. Christensen,7.826
15335,Brian Smrz,13.167
134604,Ben Ketai,11.467
230426,Leanne Pooley,2.744
40863,Joe Swanberg,19.66
130051,Craig Moss,5.407
11154,Matt Ross,12.871
3820326,Luke Hupton,0.6
1972600,Caitlin Koller,2.376
91268,Ruben Fleischer,10.947
437833,Patricia Riggen,5.65
239571,Carl Rinsch,5.134
1256395,Josh Rosenzweig,0.6
1243760,Linda Cullen,0.6
2000491,Vanessa Gildea,0.6
1046132,Alexis Lloyd,0.652
586002,Andrew Haigh,5.356
60513,Pauline Chan,15.529
2582921,Stephina Zwane,0.98
1201136,Eddy Duran,2.705
188162,Russ Parr,7.035
56661,Jonathan Levine,8.908
1032,Martin Scorsese,51.64
53395,David Tedeschi,3.844
4723,Brian Helgeland,12.374
100734,Johannes Roberts,6.637
4367087,Sophie Hyde,0.652
7847,Jim Wilson,3.23
128793,Peter Geiger,2.753
545330,April Mullen,10.536
1461114,Grigorij Richters,1.553
25527,Jason Connery,31.128
1914151,James Bluemel,2.087
1111328,Leif Gantvoort,4.581
19684,Bille August,9.432
92993,Trent Haaga,8.008
78061,Menhaj Huda,13.163
45730,Ramin Bahrani,16.451
1668693,Izu Ojukwu,2.234
208527,Yann Demange,7.596
2431936,Ravin Gandhi,1.4
41887,Michael Polish,9.259
1668697,Steve Gukas,0.6
146544,Audrey Ewell,2.085
146545,Aaron Aites,3.842
1116020,Nina Krstic,3.842
1140435,Lucian Read,3.842
937024,Aimee Lagos,1.096
588701,Des McAnuff,7.746
558524,Wiesław Saniewski,3.842
1083427,Denis Delić,0.6
2034,Danny Boyle,26.445
3437375,Martin Wichmann Andersen,1.417
152249,Jim O'Hanlon,15.924
39104,Abel Ferrara,11.601
1967084,York Alec Shackleton,1.96
75881,Randall Cole,0.681
1475193,Alex Dunn,1.96
1212392,Michael Levine,6.206
1106877,Levan Bakhia,0.6
1106878,Beqa Jguburia,0.6
8557,Fernando Meirelles,14.279
78914,Noam Murro,14.119
56377,Bent Hamer,5.815
500061,Matt Osterman,3.436
548999,Jayendra,1.4
1389953,Elan Bogarín,1.4
1932290,Jonathan Bogarín,0.6
1444883,Garin Hovannisian,1.094
1444884,Alec Mouhibian,0.6
39,Sam Mendes,25.63
585884,Kevin Clark,0.6
585885,Manzie Jones,0.6
1323509,Zak Hilditch,1.96
1305369,Johanna Hamilton,0.6
1150712,Tommy Oliver,2.572
1036442,Yen Tan,1.34
1075852,Tim Sullivan,4.892
141060,Joao G. Amorim,0.6
1297557,Randy Ang,0.6
1174526,Hasraf Dulull,5.641
146836,John Suits,2.744
1681667,Terry Lukemire,0.748
46203,Sherry Hormann,12.274
1341629,Sanjay Rawal,1.016
190090,Luke Scott,13.187
151460,John Sullivan,2.744
219861,Dinesh D'Souza,12.711
1282310,Iain Forsyth,2.744
