id,title,release_date,budget,revenue,vote_average,vote_count,popularity,genres,keywords
196327,3x3D,2013-05-22,0,0,4.7,9,1.234,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
219260,5 Shells,2012-03-09,0,0,4.2,6,0.6,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
658739,4th Republic,2019-03-26,0,0,6.7,3,2.794,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
286521,5 Flights Up,2014-09-05,6000000,1020921,5.981,287,12.444,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[242, 2587, 14633]"
324245,7 Chinese Brothers,2015-08-14,0,0,5.3,40,3.729,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
62219,The 5th Execution,2011-03-24,7000000,0,3.8,11,7.667,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
299687,The 5th Wave,2016-01-14,38000000,109906372,5.943,5542,39.298,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[818, 4565, 9951, 14909, 207569, 215299, 246466]"
619798,7 Days to Vegas,2019-09-20,0,0,5.342,19,4.781,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
29776,6 Guns,2010-03-30,100,0,4.969,32,5.233,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",[]
199734,5-25-77,2022-10-11,0,0,6.65,10,6.727,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[15160, 244257]"
603611,7 Lives,2019-04-26,0,0,10.0,1,1.4,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
455558,9/11,2017-09-07,5500000,200000,5.204,196,15.781,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[161304, 168346, 188960]"
314371,11 Minutes,2015-09-02,2023012,0,5.676,54,3.601,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
17825,The 11 Commandments,2004-02-04,0,0,5.264,423,7.643,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
289191,I Am Here,2015-06-12,0,0,5.038,53,5.77,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[549, 2449, 2286, 4021, 156240]"
345003,10 Days in a Madhouse,2015-11-20,1200000,0,4.393,14,2.595,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1568, 4924, 12193]"
209604,The 10 Commandments of Chloe,2012-02-01,0,0,6.0,1,0.627,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
505177,10x10,2018-04-13,0,68260,5.251,514,20.615,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1930, 9748]"
351901,12 Rounds 3: Lockdown,2015-09-11,0,0,5.809,173,18.265,"[0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9748, 15076, 18035]"
195269,12 Rounds 2: Reloaded,2013-06-01,4000000,0,5.54,260,19.5,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9663, 9748, 15076, 18035, 41603, 224423]"
342472,1 Mile To You,2017-04-07,0,0,6.594,197,12.106,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
68412,3 Backyards,2010-01-24,0,0,4.0,13,1.097,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
275696,3 Nights in the Desert,2014-01-04,0,0,5.0,28,3.823,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
645434,1st Born,2019-02-18,0,0,5.75,6,1.402,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[18009, 188014, 214518]"
75302,2 Frogs in the West,2010-10-28,0,0,5.7,13,1.463,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5565, 215522]"
320349,"3 ½ Minutes, 10 Bullets",2015-10-02,0,0,7.414,58,4.495,"[0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6149, 10481]"
198057,3 Days of Normal,2012-06-02,0,0,4.8,7,1.586,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[1415, 6018, 169977]"
342927,3-Headed Shark Attack,2015-07-20,0,0,4.514,177,18.861,"[0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1299, 2766, 2988, 3544, 15097, 158253, 176062, 220829]"
58547,10 Years,2012-09-14,0,203373,5.798,511,9.536,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9799, 9824, 161213]"
602432,16 Shots,2018-05-01,0,0,6.0,12,1.824,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9672, 233840, 294531]"
159014,20 Feet from Stardom,2013-06-14,1000000,5892466,7.22,226,10.695,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",[]
