writer_id,writer_id
1229856,1496058
95977,1003934
1169456,1617376
1146,3776
564,1146
6575,8447
569,1146
1146,2632
1146,8297
1146,55636
1146,6163
519,1146
258,178460
12714,1211636
77277,89287
967330,1211636
1211636,1636959
1131215,1211636
12208,16848
11770,16848
488,16848
3776,30309
3776,1151402
30309,1151402
76242,78064
19303,76242
11701,1562178
1461,1562178
31511,1562178
3776,39104
3776,5970
3776,27436
3776,130030
3776,9888
3776,51918
564,3776
3776,4429
3776,56205
3776,5655
3776,119294
3776,14597
1152,3776
224,3776
3776,93911
3776,15175
1035,3776
3776,12180
3776,105866
3776,39012
3776,4762
3776,5602
3776,40312
3776,30715
68,3776
3776,6431
1650,3776
2303,3776
1150,3776
3776,76624
3776,67717
1032,3776
3776,15488
3776,78160
3776,58728
1776,3776
40864,110283
17087,110283
17039,110283
5575,168309
15345,168309
15346,168309
28974,168309
168309,1219529
120015,168309
168309,1214366
168309,1214367
3027,5575
5575,49825
5575,1219529
5575,38568
5575,36602
880,98569
7932,91269
7932,125738
7932,12890
974,7932
1748,91269
91269,125738
974,91269
111683,1140238
76825,146604
65629,76825
3556,43553
123990,123997
3087,43553
22461,43553
1461,2978
2978,67758
2978,19840
2978,17448
7865,8161
2294,7865
7865,11701
366,7865
7865,117443
136495,207132
136495,1219529
488,231705
17883,51679
14172,51679
1152,51679
51679,1395183
51679,1232123
225633,1465193
40223,225633
225633,1279644
225633,989235
35550,225633
15244,225633
9033,225633
32278,225633
52479,225633
880,225633
929825,1066326
11090,58744
3027,25598
25598,114395
59918,936670
25598,43141
608,25598
31,25598
7017,25598
1892,25598
51864,929825
14386,929825
1896,929825
42138,929825
510,929825
10828,1465193
3027,1465193
880,1465193
36603,40223
229482,567120
3905,567120
569,1014026
51329,1014026
12995,1133294
74342,1133294
57755,1133294
37917,56960
24045,56960
16848,37622
172,56960
110,56960
14999,37622
16847,37622
54040,56960
5524,37622
30614,56960
21183,56960
37622,64141
1978,56960
11770,37622
37622,1328650
5140,37622
586001,586002
57631,1046132
172,1046132
37622,134604
42712,134604
134604,1114792
66074,134604
40863,45416
40863,98631
40863,45407
40863,40864
40863,543505
42,40863
5656,40863
40863,45400
40863,45419
40863,139135
24045,124649
54734,124649
19274,124649
56661,124649
4723,25598
372,4723
4723,23447
4723,9813
4723,1080778
508,4723
1892,4723
2127,100734
59291,100734
8654,100734
39657,1461114
6818,45730
45730,69122
45419,72196
78021,92993
7904,62055
62055,1480533
3026,62055
2034,7018
3030,62055
2034,11614
707,62055
519,62055
2034,2036
2034,17051
2034,131617
2034,26190
2034,11401
1032,2034
1243,7904
7904,204484
1152,7904
7904,41258
3026,7904
1524,7904
608,7904
7904,13524
7904,1179651
1032,7904
519,7904
5970,39104
39104,62644
569,39104
1243,39104
6818,39104
10959,39104
22461,39104
1032,39104
8654,39104
1121,39104
39,15730
15730,35005
15730,35174
10782,15730
15730,150098
1263065,2087244
3064,2087244
22679,2087244
15217,17285
17285,466391
12219,500061
2710,15217
15217,466391
15217,131680
15217,34934
15217,15218
12891,15217
15217,131947
15217,2104243
15217,74569
880,15217
15217,563350
15217,1213170
39,1643383
11090,1643383
55934,1643383
39,21339
39,3556
39,21463
39,488
39,1032
39,17697
39,21684
673,52968
673,36589
673,1071
673,48965
673,4522
673,3614
673,4014
673,12991
583,5655
583,54469
39516,114334
39516,1641679
39516,51736
39516,1215399
10959,39516
37618,39516
39516,61327
2303,39516
39516,67273
59410,1224222
62831,1224222
12219,1224222
22214,1224222
10828,964037
23446,964037
202816,964037
76171,112280
56857,133403
64108,76242
64108,86331
40863,101542
101542,138557
98631,101542
569,101542
16847,101542
66681,101542
101542,1039529
101542,1137824
80762,112280
67075,112280
2294,935179
138,935179
11770,935179
510,206169
76171,235430
112280,235430
101542,235430
118303,235430
3027,235430
2127,235430
137467,235430
121798,235430
4385,4753
4753,12891
6047,234817
234817,1038655
4753,40223
19536,40223
1461,40223
63052,64108
1896,40223
63052,63059
18862,40223
27889,1090812
23659,217587
55710,217587
88029,217587
217587,2549694
7018,76221
7018,7056
7018,9155
7018,53519
138,7018
4566,7018
7018,8297
7017,7018
7018,11109
488,7018
10707,58034
8654,131846
819,985904
23880,92436
956,11092
11011,11092
11092,11701
11092,82194
8844,11092
11092,934803
957,11092
11092,65734
366,11092
11092,202816
488,11092
18897,78110
