id,name,popularity
2349161,Roland Moore,0.6
1146,Julie Delpy,23.167
1003934,Alexia Landeau,12.706
558864,H. Perry Horton,3.752
2349062,David Marmor,0.98
1480600,Marc Novak,2.132
115226,Eric Mendelsohn,3.489
1223970,Larry Clarke,8.593
1448106,Adam Chanzit,0.6
1158411,Bill Gullo,1.989
16848,Rob Zombie,17.552
1394638,Nikole Beckwith,1.286
94816,Mark Monroe,5.427
1229856,Blake Masters,1.473
81960,Tarek Zohdy,1.4
2449592,Sam Khoze,0.98
2449593,Mahdi Alimirzaee,0.6
21246,Corbin Bernsen,25.245
6575,Gil Bellows,24.389
101233,Michael Winnick,9.398
194802,Tony Pantages,8.767
1128035,David Uloth,2.139
1128048,Dany Papineau,0.6
1128049,Grégoire Bédard,0.6
1617376,Minhal Baig,2.475
289992,Edward DeRuiter,6.547
1211636,James Cullen Bressack,14.07
178460,Marc Silver,7.531
89287,Nathan Parker,6.062
1319500,Todd Stein,0.6
1193508,Jason Paul Laxamana,5.754
589461,Jace Mclean,3.661
1178338,Jared Parsons,0.98
1171538,Randle Schumacher,3.623
1209960,Eric Radzan,1.38
1665441,Tony Cummings,5.653
1318326,Jacob Cooney,4.491
1326639,Bill Hanstock,3.118
2182258,Prashanth Neel,18.405
78600,Jordan Roberts,6.993
3776,Jean-Luc Godard,28.199
30309,Peter Greenaway,12.996
1151402,Edgar Pêra,2.744
1204041,Paul S. Myers,0.6
76242,Noel Clarke,18.315
1473794,Aaron Dancik,0.6
114598,Jeff Van Wie,2.391
1117947,Josh Campbell,3.652
552531,Mikko Alanne,5.776
65401,Charlie Peters,2.395
20254,Achim von Borries,19.498
71339,Rick Bieber,2.597
1856285,Stephen Meier,1.659
1861021,Daniel Lawlor,0.6
1861022,Sean P. Hale,2.598
110283,Bob Byington,6.014
68530,Scott M. Rosenfelt,15.664
1562178,Robert Rippberger,3.842
234988,Alexandr Yakimchuk,3.685
1295349,Сергей Бондаренко,2.744
1295350,Aleksandr Prokopovich,1.527
1295351,Иго,2.744
1937600,Denise Cruz-Castino,1.38
1937601,Andy Glickman,0.6
82937,Victor Levin,10.844
5575,Akiva Goldsman,6.159
6340,Susannah Grant,9.219
168309,Jeff Pinkner,10.669
88134,Adam Silver,5.499
543781,Ben Hayflick,1.38
7932,Rhett Reese,6.923
91269,Paul Wernick,5.733
131874,Marja-Lewis Ryan,1.935
104999,Glenn Standring,5.467
1965838,Eric LeMarque,0.6
2675734,Madison Turner,0.694
98569,Vincent Van Patten,41.009
1966480,Steve Alper,1.4
86204,Geoff Meed,10.302
56059,Patrick Read Johnson,14.675
1140238,Hannah Fidell,2.023
2317288,Sabrina Calvo,0.6
2317289,Charles Ayats,0.6
1049270,Gabriel Judet-Weinshel,2.295
123990,Reed Cowan,1.396
146801,Martin Guigui,9.69
1849340,Patrick Carson,0.98
1849341,Steven James Golebiowski,1.932
1181360,Jay Martin,2.047
43553,Jerzy Skolimowski,14.878
1189988,Tomer Almagor,1.553
2978,Max Minghella,25.414
1066774,Ari Issler,1.932
1489788,Ben Snyder,3.842
1611583,Victor Almanzar,1.219
76825,Vincent Desagnat,8.145
78221,Romain Lévy,2.744
142982,Laurent Zeitoun,10.272
146604,Benjamin Morgaine,8.8
1066644,Dominique Gauriaud,0.98
1451894,Simon Hung,1.441
1741296,Ruby Chen,0.98
1020851,Rudy Thauberger,4.549
1284681,Sydney Roper,0.6
82566,Anders Morgenthaler,2.601
95324,Michael C. Martin,9.184
7865,Michael Brandt,8.303
8161,Derek Haas,9.816
115328,Halsted Welles,3.842
3140266,Kehinde Ogunlola,0.6
1128550,Timothy Hines,2.744
235507,Naama Kates,8.449
1193132,Princeton Holt,7.531
1484526,Jeff Jingle,4.666
2409433,Kelvin Mao,0.6
136495,Damien Chazelle,31.762
1493738,Matthew Stuecken,0.971
965697,Alex Greenfield,1.4
1389040,Nancy Leopardi,14.76
106850,Elana Lesser,10.31
106851,Cliff Ruby,15.421
1979467,Suzi Ewing,1.38
68432,Jamie Linden,5.131
1152047,Lotfy Nathan,0.6
1348062,Nathan Brookes,0.84
1348063,Bobby Lee Darby,2.391
51575,Leslie Greif,24.903
231705,Matt Eskandari,7.129
562231,Michael Hultquist,1.4
1048614,Jennifer Notas Shapiro,6.83
64158,David Benullo,7.541
51679,John Ridley,16.097
57862,Ted Tally,4.845
225633,Peter Craig,19.19
1190171,Gregory Pruss,2.705
1030363,Rick Rowley,5.302
1076067,Christian Piers Betley,1.4
1485100,Victor Zarcoff,2.744
120245,Daniel Stamm,10.545
150183,David Birke,5.393
1261462,Ramón Campos,7.781
1261463,Gema R. Neira,19.644
1877446,Teresa Fernández-Valdés,0.888
2398104,Carlos Ruano,1.4
2747678,Salvador S. Molina,0.702
2747679,David Orea,1.62
139838,Adam Phillips,2.501
17439,Mike Mills,9.346
929825,Ava DuVernay,22.027
1066326,Spencer Averick,2.621
52114,Jon Lucas,8.684
52115,Scott Moore,6.654
108784,Annie DeYoung,2.104
25598,Paul Greengrass,9.276
1770842,Åsne Seierstad,2.278
86520,Frank Krueger,6.767
58744,Michael Bacall,17.151
59918,Rodney Rothman,17.115
1090787,Oren Uziel,14.083
1956657,Dorothy Blyskal,0.98
957864,Jeffrey Roda,2.744
63799,Jeremy Boxen,1.4
2205548,Matt Kapp,0.6
567120,Davy Rothbart,1.4
928951,Jennifer Tiexiera,1.96
68771,Leigh Dunlap,7.145
1465193,Chuck Hogan,10.438
1368829,Bram Hoover,2.717
1368830,Toni Hoover,0.6
36603,Matthew Michael Carnahan,8.826
1394042,Adam Mervis,4.931
229420,T.C. Christensen,7.826
57025,Ron Mita,2.524
57026,Jim McClain,9.59
1014026,Zach Dean,8.018
37622,Steve Niles,8.17
134604,Ben Ketai,11.467
230426,Leanne Pooley,2.744
40863,Joe Swanberg,19.66
130051,Craig Moss,5.407
11154,Matt Ross,12.871
3820326,Luke Hupton,0.6
1217601,Seana Kofoed,11.291
236434,Michael Diliberti,0.6
7189,Michael Thomas,5.096
1133294,Craig Borten,0.6
58191,Chris Morgan,15.998
56960,Hossein Amini,8.359
1046132,Alexis Lloyd,0.652
586002,Andrew Haigh,5.356
2582921,Stephina Zwane,0.98
3952825,Zoë Laband,0.6
60513,Pauline Chan,15.529
1230476,Philip Dalkin,0.982
1322956,Martin Edmond,0.694
84063,Joey Dedio,4.236
1016151,Jeffrey De Serrano,7.693
124649,Will Reiser,1.49
4723,Brian Helgeland,12.374
100734,Johannes Roberts,6.637
1301112,Ernest Riera,3.953
68216,Brad Kaaya,0.925
1057497,Matthew Cormack,1.4
